Araştırma-Geliştirme Proje ve Yayın,2018,2019,2020,2021
Öğretim Elemanı Başına Düşen Yayın Sayısı (Ulusal),0.086,0.153,0.254,0.242
Öğretim Elemanı Başına Düşen Yayın Sayısı (SCI/SSCI/AHCI),0.502,0.614,0.684,0.749
En Yüksek %10'luk Dilimde Atıf Alan Yayın Sayısı,653,859,986,1060
Bilimsel Yayınlara Açık Erişim Oranı (%),27,51.06,57.04,56.29
Başvurulan Patent/Faydalı Model/Tasarım Sayısı,10,15,18,28
Sonuçlanan Patent/Faydalı Model/Tasarım Sayısı,8,5,8,5
YÖK/TÜBA/TÜBİTAK Ödülleri Sayısı,2,4,3,NA
YÖK 100/2000 Projesi Doktora Bursiyeri Sayısı,141,176,160,130
YÖK-YUDAB Bursiyeri Sayısı,3,3,NA,NA
TÜBİTAK Araştırma Bursu Sayısı,200,353,283,819
TÜBİTAK Destek Programı Sayısı,152,348,416,473
Desteklenmiş Ar-Ge Proje Sayısı,211,533,706,1023
THE Dünya Sıralaması,601-801,501-601,501-601,501-601
THE Bölgesel (Asya) Sıralaması,138,116,118,125
THE Ulusal Sıralaması,5,3,3,3
QS Dünya Sıralaması,751-801,801-1001,801-1001,801-1001
QS Bölgesel (Asya) Sıralaması,201,222,221,246
QS Ulusal Sıralaması,7,7,7,8
ARWU Dünya Sıralaması,501-601,701-801,601-701,701-801
ARWU Ulusal Sıralaması,2,2,2,2-3
TGB'de İstihdam Edilen Doktora Öğrencisi Sayısı,NA,38,47,44
Laboratuvarda Sunulan Hizmet Sayısı,NA,NA,59,336
Laboratuvar Geliri,NA,NA,36.238,110.491
Öz Gelir/Bütçe Oranı (%),11.08,9.41,16.34,19.48
Sağlık Merkezi Kâr/Zarar Oranı,25,-42.6,8,19
Ar-Ge'ye Harcanan Bütçe Oranı (%),16.29,13.12,12.88,8.71
Ar-Ge'ye Harcanan Yatırım Bütçesi Oranı (%),18.98,19.04,13.2,8.33
Endüstri İle Ortak Proje Sayısı,250,389,468,507
Endüstri İle Ortak Proje Bütçesi,116.522.33,224.499.29,178.427.027,371.628.592
Yayın Alımı/Bütçe Oranı (%),0.8,0.59,0.65,0.67
