Araştırma-Geliştirme Proje ve Yayın,2018,2019,2020,2021
Öğretim Elemanı Başına Düşen Yayın Sayısı (Ulusal),0.033,0.051,0.095,0.085
Öğretim Elemanı Başına Düşen Yayın Sayısı (SCI/SSCI/AHCI),0.645,0.687,0.702,0.690
En Yüksek %10'luk Dilimde Atıf Alan Yayın Sayısı,611,638,716,740
Bilimsel Yayınlara Açık Erişim Oranı (%),28,35.28,42.84,41.78
Başvurulan Patent/Faydalı Model/Tasarım Sayısı,30,30,35,43
Sonuçlanan Patent/Faydalı Model/Tasarım Sayısı,13,17,21,24
YÖK/TÜBA/TÜBİTAK Ödülleri Sayısı,4,4,4,10
YÖK 100/2000 Projesi Doktora Bursiyeri Sayısı,136,214,153,136
YÖK-YUDAB Bursiyeri Sayısı,1,12,NA,NA
TÜBİTAK Araştırma Bursu Sayısı,446,229,248,820
TÜBİTAK Destek Programı Sayısı,17,400,402,453
Desteklenmiş Ar-Ge Proje Sayısı,174,207,215,523
THE Dünya Sıralaması,601-801,601-801,601-801,801-1001
THE Bölgesel (Asya) Sıralaması,91,115,137,163
THE Ulusal Sıralaması,5,6,6,8
QS Dünya Sıralaması,601-651,651-701,651-701,751-801
QS Bölgesel (Asya) Sıralaması,151,169,175,222
QS Ulusal Sıralaması,6,6,5,6
ARWU Dünya Sıralaması,701-801,801-901,601-701,901-1001
ARWU Ulusal Sıralaması,6,8,2,5-8
TGB'de İstihdam Edilen Doktora Öğrencisi Sayısı,NA,113,131,157
Laboratuvarda Sunulan Hizmet Sayısı,NA,38,55,4.215
Laboratuvar Geliri,NA,244.635,3.805.705,36.066.000
Öz Gelir/Bütçe Oranı (%),15.51,21,20.48,9.93
Sağlık Merkezi Kâr/Zarar Oranı,NA,NA,NA,NA
Ar-Ge'ye Harcanan Bütçe Oranı (%),14.84,17,12,10.15
Ar-Ge'ye Harcanan Yatırım Bütçesi Oranı (%),49,41,18,24.44
Endüstri İle Ortak Proje Sayısı,213,211,284,221
Endüstri İle Ortak Proje Bütçesi,35.661.516,95.144.000,157.475.897,94.130.000
Yayın Alımı/Bütçe Oranı (%),0.88,0.86,0.91,1.31
