Araştırma-Geliştirme Proje ve Yayın,2018,2019,2020,2021
Öğretim Elemanı Başına Düşen Yayın Sayısı (Ulusal),0.024,0.056,0.073,0.064
Öğretim Elemanı Başına Düşen Yayın Sayısı (SCI/SSCI/AHCI),0.631,0.698,0.601,0.625
En Yüksek %10'luk Dilimde Atıf Alan Yayın Sayısı,566,656,706,751
Bilimsel Yayınlara Açık Erişim Oranı (%),30.59,35.06,44.62,43.08
Başvurulan Patent/Faydalı Model/Tasarım Sayısı,33,42,46,76
Sonuçlanan Patent/Faydalı Model/Tasarım Sayısı,17,18,20,37
YÖK/TÜBA/TÜBİTAK Ödülleri Sayısı,4,2,2,5
YÖK 100/2000 Projesi Doktora Bursiyeri Sayısı,142,182,183,138
YÖK-YUDAB Bursiyeri Sayısı,2,5,NA,NA
TÜBİTAK Araştırma Bursu Sayısı,523,549,449,1159
TÜBİTAK Destek Programı Sayısı,15,446,529,549
Desteklenmiş Ar-Ge Proje Sayısı,141,277,396,423
THE Dünya Sıralaması,601-801,601-801,601-801,801-1001
THE Bölgesel (Asya) Sıralaması,120,159,172,201-251
THE Ulusal Sıralaması,5,6,6,8
QS Dünya Sıralaması,471-481,551-561,591-601,601-651
QS Bölgesel (Asya) Sıralaması,104,140,155,180
QS Ulusal Sıralaması,4,4,4,4
ARWU Dünya Sıralaması,801-901,701-801,801-901,901-1001
ARWU Ulusal Sıralaması,7,2,7,5-8
TGB'de İstihdam Edilen Doktora Öğrencisi Sayısı,NA,86,1,114
Laboratuvarda Sunulan Hizmet Sayısı,NA,26.051,19.754,18.993
Laboratuvar Geliri,NA,21.545.797,3.354.552,2.658.630
Öz Gelir/Bütçe Oranı (%),22,22.32,26,27
Sağlık Merkezi Kâr/Zarar Oranı,NA,NA,NA,NA
Ar-Ge'ye Harcanan Bütçe Oranı (%),16.39,17.51,34.81,21.29
Ar-Ge'ye Harcanan Yatırım Bütçesi Oranı (%),55.21,55,60.69,65.1
Endüstri İle Ortak Proje Sayısı,223,238,413,386
Endüstri İle Ortak Proje Bütçesi,132.064.459,159.144.325,141.664.664,148.733.855
Yayın Alımı/Bütçe Oranı (%),1.19,1.23,1.28,1.09
