Araştırma-Geliştirme Proje ve Yayın,2018,2019,2020,2021
Öğretim Elemanı Başına Düşen Yayın Sayısı (Ulusal),0.050,0.086,0.192,0.169
Öğretim Elemanı Başına Düşen Yayın Sayısı (SCI/SSCI/AHCI),0.540,0.615,0.724,0.753
En Yüksek %10'luk Dilimde Atıf Alan Yayın Sayısı,362,391,422,443
Bilimsel Yayınlara Açık Erişim Oranı (%),30.2,38.13,42.91,42.21
Başvurulan Patent/Faydalı Model/Tasarım Sayısı,31,46,87,103
Sonuçlanan Patent/Faydalı Model/Tasarım Sayısı,26,15,14,23
YÖK/TÜBA/TÜBİTAK Ödülleri Sayısı,3,1,4,3
YÖK 100/2000 Projesi Doktora Bursiyeri Sayısı,112,175,170,128
YÖK-YUDAB Bursiyeri Sayısı,1,1,NA,NA
TÜBİTAK Araştırma Bursu Sayısı,69,432,426,1000
TÜBİTAK Destek Programı Sayısı,6,155,177,189
Desteklenmiş Ar-Ge Proje Sayısı,75,181,106,402
THE Dünya Sıralaması,801-1001,NA,10001+,10001+
THE Bölgesel (Asya) Sıralaması,251-301,NA,351-401,301-351
THE Ulusal Sıralaması,13,NA,12,12
QS Dünya Sıralaması,NA,NA,NA,1001+
QS Bölgesel (Asya) Sıralaması,NA,NA,NA,343
QS Ulusal Sıralaması,NA,NA,NA,14
ARWU Dünya Sıralaması,901-1001,NA,NA,NA
ARWU Ulusal Sıralaması,11,NA,NA,NA
TGB'de İstihdam Edilen Doktora Öğrencisi Sayısı,NA,46,63,84
Laboratuvarda Sunulan Hizmet Sayısı,NA,NA,828,828
Laboratuvar Geliri,NA,NA,427.493,427.493
Öz Gelir/Bütçe Oranı (%),13,20,18,28
Sağlık Merkezi Kâr/Zarar Oranı,NA,NA,NA,NA
Ar-Ge'ye Harcanan Bütçe Oranı (%),15,14,15,20
Ar-Ge'ye Harcanan Yatırım Bütçesi Oranı (%),57,60,48,49
Endüstri İle Ortak Proje Sayısı,88,35,279,685
Endüstri İle Ortak Proje Bütçesi,6.840.384,2.492.173,79.237.709,85.374.998
Yayın Alımı/Bütçe Oranı (%),0.83,0.78,0.51,0.47
